id_bien;com_code;Code postal;Nombre pieces principales;Surface Carrez du 1er lot;Type local
22546;56262;56400;2;45.79;Appartement
22547;59009;59650;2;47;Appartement
22548;59017;59280;1;89.75;Appartement
22549;59360;59120;1;25.17;Appartement
22550;59507;59790;2;43.09;Appartement
22551;60141;60500;2;49.5;Appartement
22552;60141;60500;3;84.45;Appartement
22553;60141;60500;1;28;Appartement
22554;60141;60500;4;79.22;Appartement
22555;60367;60240;3;59.08;Appartement
22556;60612;60300;2;41.15;Appartement
22557;60612;60300;3;61;Appartement
22558;62609;62580;1;121.1;Appartement
22559;62893;62930;4;88.81;Maison
22560;64129;64140;4;90.45;Appartement
22561;64132;64320;3;56.31;Appartement
22562;64410;64150;3;58.56;Appartement
22563;64445;64000;5;91.24;Appartement
22564;69081;69130;5;105.02;Appartement
22565;69089;69340;1;42.64;Appartement
22566;69089;69340;3;84.79;Appartement
22567;69191;69450;2;40.92;Appartement
22568;69243;69170;5;175.76;Appartement
22569;69250;69890;2;57.09;Appartement
22570;69264;69400;2;44.98;Appartement
22571;69264;69400;3;57.89;Appartement
22572;69266;69100;4;64.85;Appartement
22573;69266;69100;2;52.78;Appartement
22574;69266;69100;1;40.59;Appartement
22575;69266;69100;2;48.06;Appartement
22576;69282;69330;3;62.53;Appartement
22577;69383;69003;5;130.03;Appartement
22578;69384;69004;6;141.94;Appartement
22579;69384;69004;2;48.54;Appartement
22580;69385;69005;3;88.15;Appartement
22581;69387;69007;1;49.03;Appartement
22582;69387;69007;2;49.21;Appartement
22583;69387;69007;3;54.42;Appartement
22584;69387;69007;2;39.7;Appartement
22585;69387;69007;2;45.9;Appartement
22586;69388;69008;3;54.36;Appartement
22587;69389;69009;3;69.18;Appartement
22588;69389;69009;2;41.07;Appartement
22589;70026;70100;2;79.43;Appartement
22590;72181;72000;3;82.91;Appartement
22591;72181;72100;3;64.29;Appartement
22592;72264;72300;2;49.01;Appartement
22593;74042;74130;2;47;Appartement
22594;74056;74400;2;26.55;Appartement
22595;74104;74210;3;77.51;Appartement
22596;74185;74560;3;122.5;Appartement
22597;74243;74160;2;49.15;Appartement
22598;74256;74700;3;79.76;Appartement
22599;75101;75001;1;18.9;Appartement
22600;75102;75002;3;49.25;Appartement
22601;75102;75002;2;29.03;Appartement
